id,topics
Grants623afd62b34a6bd48ae4bdef,"[(11, 0.19009233), (19, 0.7735402)]"
Grants623afd65b34a6bd48ae4bdf0,"[(11, 0.28306362), (19, 0.33495545), (20, 0.340796)]"
Grants623afd67b34a6bd48ae4bdf1,"[(5, 0.102388635), (19, 0.8562801)]"
Grants623afd6ab34a6bd48ae4bdf2,"[(4, 0.29652548), (6, 0.18048628), (11, 0.10497454), (19, 0.37705925)]"
Grants623afd6cb34a6bd48ae4bdf3,"[(6, 0.38759294), (11, 0.16555905), (13, 0.16173565), (19, 0.25689396)]"
Grants623afd6fb34a6bd48ae4bdf4,"[(7, 0.3835909), (9, 0.38361606), (19, 0.20080099)]"
Grants623afd71b34a6bd48ae4bdf5,"[(9, 0.23942448), (11, 0.27218303), (19, 0.4404028)]"
Grants623afd74b34a6bd48ae4bdf6,"[(9, 0.64065295), (19, 0.32437333)]"
Grants623afd76b34a6bd48ae4bdf7,"[(11, 0.12794642), (13, 0.20330122), (19, 0.26866454), (21, 0.36289218)]"
Grants623afd78b34a6bd48ae4bdf8,"[(11, 0.13537808), (13, 0.2296917), (19, 0.31248716), (21, 0.2793744)]"
Grants623afd7bb34a6bd48ae4bdf9,"[(4, 0.06722727), (6, 0.05637994), (9, 0.118849516), (11, 0.11513092), (19, 0.6017356)]"
Grants623afd7db34a6bd48ae4bdfa,"[(11, 0.55831695), (19, 0.39117175)]"
Grants623afd80b34a6bd48ae4bdfb,"[(3, 0.14559494), (4, 0.21815331), (5, 0.114387065), (10, 0.2721522), (19, 0.22210813)]"
Grants623afd82b34a6bd48ae4bdfc,"[(11, 0.08543315), (12, 0.46964908), (19, 0.40892506)]"
Grants623afd84b34a6bd48ae4bdfd,"[(12, 0.19069245), (13, 0.4075676), (19, 0.36571786)]"
Grants623afd87b34a6bd48ae4bdfe,"[(10, 0.04901978), (11, 0.13727018), (14, 0.05996101), (19, 0.24936086), (21, 0.47576234)]"
Grants623afd89b34a6bd48ae4bdff,"[(7, 0.09599097), (11, 0.04428686), (19, 0.5678857), (21, 0.25459936)]"
Grants623afd8cb34a6bd48ae4be00,"[(11, 0.11800329), (17, 0.4357121), (19, 0.39229247)]"
Grants623afd8eb34a6bd48ae4be01,"[(6, 0.36606756), (11, 0.09844424), (14, 0.14337179), (19, 0.35801694)]"
Grants623afd90b34a6bd48ae4be02,"[(5, 0.21432225), (9, 0.073379904), (11, 0.11223289), (15, 0.10790334), (19, 0.46721962)]"
Grants623afd94b34a6bd48ae4be03,"[(11, 0.08842391), (19, 0.3491985), (20, 0.53451484)]"
Grants623afd96b34a6bd48ae4be04,"[(1, 0.06634714), (5, 0.25698236), (11, 0.42816886), (19, 0.2202695)]"
Grants623afd99b34a6bd48ae4be05,"[(2, 0.3881685), (6, 0.19403364), (11, 0.11144576), (19, 0.27604076)]"
Grants623afd9bb34a6bd48ae4be06,"[(10, 0.14755863), (11, 0.13678186), (16, 0.32258767), (19, 0.3541035)]"
Grants623afd9eb34a6bd48ae4be07,"[(9, 0.20597841), (11, 0.21477757), (19, 0.36818483), (20, 0.16291422)]"
Grants623afda0b34a6bd48ae4be08,"[(14, 0.879328), (20, 0.07934494)]"
Grants623afda2b34a6bd48ae4be09,"[(10, 0.10393974), (19, 0.8311048)]"
Grants623afda5b34a6bd48ae4be0a,"[(11, 0.50430256), (19, 0.43886924)]"
Grants623afda7b34a6bd48ae4be0b,"[(1, 0.3273417), (11, 0.24927746), (19, 0.38582438)]"
Grants623afda9b34a6bd48ae4be0c,"[(1, 0.3922681), (11, 0.25316113), (19, 0.32577866)]"
Grants623afdacb34a6bd48ae4be0d,"[(1, 0.44001758), (11, 0.1782196), (19, 0.34577203)]"
